Source:,/media/jrc/SDA_D/Kicad/SBC-386EX-2-dual-2/SBC-386EX-2.sch,,,,,
Date:,Sun 21 Jan 2018 12:33:54 PM PST,,,,,
Tool:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1,,,,,
Generator:,/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,104,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,2,"C1, C2",22uF  10v,device:CP,Capacitors_ThroughHole:CP_Radial_D8.0mm_P2.50mm,
2,1,C3,10uf 10v,device:CP,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
3,1,C4,SuperCap 0.1F-1.0F,device:CP,01N8VEM:SuperCap5,
4,36,C5 -  C40; not all installed,0.1 monolithic,device:C,Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm,
5,1,C41,4.7uF 5v,device:CP,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
6,1,C42,0.1 monolithic,device:C,Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm,
7,5,"C43, C44, C45, C46, C47",10uF 10v,device:CP,Capacitors_ThroughHole:CP_Radial_D5.0mm_P2.00mm,
8,6,"D3, D4, D5, D6, D8","3mm:  4 green, 1 yellow (D8)",01RetroBrew:LED,LEDs:LED_D3.0mm,
9,1,D1,"R/G bi-color, 5mm",KISS68030-cache:DIODE,discret:D3,
10,1,"D2, D7",1N4148,KISS68030-cache:DIODE,discret:D3,
11,1,ECB1,96-pin DIN rt-angle male,KISS68030-cache:C96ABC,01N8VEM:C96ABCM-RA,
12,3,"J1, J3, J4",Pin array 01x03,conn:Conn_01x03,pin_array:PIN_ARRAY_3X1,
13,1,J2,Conn 2 x 5 shrouded,conn:Conn_02x05_Odd_Even,01N8VEM:SHROUDED_5x2,
14,1,J5,Pin array 01x02,conn:Conn_01x02,pin_array:PIN_ARRAY_2X1,
15,1,P1,PC power connector 01x04 (may omit),conn:Conn_01x04,01N8VEM:PCpower4,
16,1,P2,MicroSD-01  Molex-47309 series,01RetroBrew:microSD-01,Kicad:microSD-Molex-47309,
17,1,P3,2 x 20 rt angle header,conn:Conn_02x20_Odd_Even,Kicad:SHROUDED_20X2,
18,1,P4,CONN_2,KISS68030-cache:CONN_2,pin_array:PIN_ARRAY_2X1,
19,1,R1,68 (47-150) socketed,device:R,discret:R3,
20,1,R2,10 ohm,device:R,discret:R3,
21,1,R3,10k,device:R,discret:R3,
22,1,R4,270,device:R,discret:R3,
23,2,"R5, R6",2700,device:R,discret:R3,
24,2,"R7, R8",4700,device:R,discret:R3,
25,2,"RR1, RR2",10K,KISS68030-cache:RR9,discret:r_pack9,
26,1,RR3,470,00N8VEM:RR4,01N8VEM:r_pack4,
27,1,RR5,10K,00N8VEM:RR4,01N8VEM:r_pack4,
28,1,SIM1,"SIMM-72 socket, vertical",KISS68030-cache:MT16D832,01N8VEM:DRAM-72-2021,
29,1,SW1,tactile switch,KISS68030-cache:SW_PUSH,discret:SW_PUSH_SMALL,
30,1,U1,I386EX_Adapter (omit 8 caps),01RetroBrew:I386EX_passive,Kicad:i386EX-132-adapter,
31,1,U2,i387SX,01RetroBrew:i387SX,Kicad:80188,
32,1,U3,74LS241,00N8VEM:74LS241,dip_sockets:DIP-20__300,
33,1,U4,SRAM-32K  20ns,KISS68030-cache:SRAM-32K,dip_sockets:DIP-28__300,
34,1,U5,LP2950-3.3_TO92,regul:LP2950-3.3_TO92,TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval,
35,1,U6,Flash 128K-512K,KISS68030-cache:29F040,dip_sockets:DIP-32__600,
36,1,U7,MAX233,00N8VEM:MAX233,dip_sockets:DIP-20__300,
37,1,U8,DS1302,SBC-188:DS1302,dip_sockets:DIP-8__300,
38,1,U9,74HCT14 (74LS won’t work),KISS68030-cache:74LS14,dip_sockets:DIP-14__300,
39,1,U10,74LS245 (74LS preferred),KISS68030-cache:74LS245,dip_sockets:DIP-20__300,
40,3,"U11, U12, U13",74ALS244,KISS68030-cache:74LS244,dip_sockets:DIP-20__300,
41,1,U14,74LS240 (74LS only),74xx:74LS240,dip_sockets:DIP-20__300,
42,1,U15,74LS74,KISS68030-cache:74LS74,dip_sockets:DIP-14__300,
43,1,U16,CPU-66mhz,KISS68030-cache:OSC14-8,dip_sockets:DIP-14__300,
44,1,U17,CLK-1.8432,KISS68030-cache:OSC14-8,dip_sockets:DIP-14__300,
45,3,"U18, U22, U23",GAL16V8 10ns or 7ns,KISS68030-cache:GAL16V8,dip_sockets:DIP-20__300,
46,3,"U19, U20, U21",74F257 (74ALS & 74ACT to be tested),74xx:74F257,dip_sockets:DIP-16__300,
47,1,U101,I386EX_PQFP-132 (omit U1),01RetroBrew:I386EX_PQFP,Kicad:PQFP-132_i386_JRC,
48,1,X1,32Khz tuning fork 6pf,SBC-188:CRYSTAL,Kicad:Tuning_Fork_Header_Straight_1x02_Pitch1.00mm,
,,,,,,
A,1,SIMM-72 memory,"4Mb-64Mb, 5v, 60ns","EDO or FPM, non-parity",single or double sided,
B,1,"D7, R1-8  (fit a 14-pin machine tool socket)",,,,
